title, url, img, ingredient
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","grated fresh ginger"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","garlic, minced"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","sesame seeds"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","cornstarch"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","tempeh"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","green onions, sliced"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","cooked jasmine rice*"
"Sesame Tempeh Bowls","https://www.budgetbytes.com/sesame-tempeh-bowls/","https://www.budgetbytes.com/wp-content/uploads/2019/02/Sesame-Tempeh-eat-347x260.jpg","frozen broccoli florets"
"“Sweep the Kitchen” Pasta Salad","https://www.budgetbytes.com/sweep-the-kitchen-pasta-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Add-Salad-Dressing-to-Pasta-Salad-347x260.jpg","pasta (any shape)"
"“Sweep the Kitchen” Pasta Salad","https://www.budgetbytes.com/sweep-the-kitchen-pasta-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Add-Salad-Dressing-to-Pasta-Salad-347x260.jpg","broccoli crown (about 1/2 lb.)"
"“Sweep the Kitchen” Pasta Salad","https://www.budgetbytes.com/sweep-the-kitchen-pasta-salad/","https://www.budgetbytes.com/wp-content/uploads/2019/01/Add-Salad-Dressing-to-Pasta-Salad-347x260.jpg","sliced olives"
